---
long-conn: median=14176.2  iqr=[13430.0, 14604.7]  stdev=640.3  n=10
short-conn: median=1167.3  iqr=[1097.9, 1203.8]  stdev=150.1  n=10
cell,iter,rps,server_cpu_pct
long-conn,1,14619.73,98.05562499999999
long-conn,2,14531.67,97.85375
long-conn,3,14599.73,98.110625
long-conn,4,14033.41,96.61
long-conn,5,14318.94,97.886875
long-conn,6,13083.8,96.43125
long-conn,7,12959.26,95.1575
long-conn,8,13545.46,96.8875
long-conn,9,13854.52,97.610625
long-conn,10,14643.02,97.6225
short-conn,1,1216.91,57.044375
short-conn,2,1229.28,57.844375
short-conn,3,1185.5,55.83625
short-conn,4,1044.18,57.255625
short-conn,5,1157.41,60.09466666666666
short-conn,6,1161.63,59.086875
short-conn,7,1115.78,57.73375
short-conn,8,721.08,37.93625
short-conn,9,1199.41,57.37
short-conn,10,1173.03,57.3
